Year,Total Income Tax,Capital Gains Tax,NICs,VAT,Total Corporation Tax,Bank payroll tax,Petroleum Revenue Tax,Fuel duties,Inheritance Tax,Shares,Stamp Duty Land Tax,Tobacco duties,Spirits duties,Beer duties,Wines duties,Cider duties,Betting & Gaming,Air Passenger Duty,Insurance Premium Tax,Landfill Tax,Climate Change Levy,Aggregates Levy,Customs Duties
1999-00,93910,2122,56354,56779,34322,,853,22515,2047,3711,3184,5684,1804,2813,1657,155,1514,882,1423,430,,,2043
2000-01,105177,3236,60614,58622,32421,,1517,22623,2221,4477,3684,7648,1842,2850,1814,158,1510,948,1707,462,,,2097
2001-02,107994,3034,63168,61026,32041,,1310,21916,2355,2852,4132,7754,1919,2899,1982,155,1439,806,1861,502,555,,2042
2002-03,109506,1596,64553,63451,29268,,958,22147,2354,2538,5011,8054,2273,2935,1936,153,1292,816,2138,541,829,247,1907
2003-04,117917,2225,72457,69075,28077,,1179,22786,2504,2559,4986,8091,2362,3044,2006,153,1347,791,2294,607,832,339,1941
2004-05 ,127294,2282,78098,73026,33641,,1284,23313,2922,2715,6251,8100,2385,3101,2233,157,1421,864,2359,672,764,334,2195
2005-06 ,134916,3042,85522,72856,41829,,2016,23438,3259,3465,7454,7959,2309,3076,2308,168,1421,905,2343,733,744,326,2258
2006-07 ,147712,3830,87274,77360,44308,,2155,23585,3545,3757,9635,8149,2256,3072,2385,200,1391,971,2314,804,712,321,2325
2007-08 ,151738,5268,100410,80599,46383,,1680,24905,3824,4167,9958,8094,2374,3067,2641,220,1481,1994,2306,877,688,339,2456
2008-09,153442,7852,96882,78439,43077,,2567,24615,2839,3203,4796,8219,2358,3127,2741,244,1474,1862,2281,954,716,334,2659
2009-10,144881,2491,95517,70160,35805,,923,26197,2384,3017,4886,8813,2570,3182,2949,311,1439,1856,2259,842,695,275,2646
2010-11,153491,3601,96548,83502,42121,3416,1458,27256,2717,2971,5961,9144,2675,3296,3101,324,1533,2155,2400,1065,674,288,2998
2011-12,150939,4337,101617,98292,43763,-2,2032,26800,2903,2794,6125,9551,2889,3463,3356,329,1633,2607,2941,1090,676,290,2912
2012-13,152030,3927,102037,100572,41047,0,1737,26571,3105,2234,6907,9681,2931,3426,3537,326,1680,2791,3021,1092,635,265,2854
2013-14,156898,3908,107690,104718,41474,0,1118,26881,3402,3108,9273,9531,3056,3346,3713,340,2098,3013,3014,1189,1068,285,2901